216,"""Zanga potike"""
217,"""ZANGA S.N"""
218,"""ZANGA SONO"""
219,"""Zanga Tarike"""
220,"""Zanga totitsetsake"""
221,"""Zanga Trikitera"""
222,"""zanga trikitera"""
223,"""zanga trokena"""
224,"""zanga ts.k"""
225,"""zanga TS.K"""
226,"""zanga TSE.K"""
227,"""Zanga tsokena"""
228,"""zanga tsokena"""
229,"""ZANGA TSONKENA"""
230,"""Zanga Z.M"""
231,"""zanga Z.M"""
232,"""zanga.b.N"""
233,"""ZANGA.BOZIKE"""
234,"""ZangaBenono"""
235,"""zangabenono"""
236,"""ZangaDorlisy"""
237,"""Zangafotitsetsake"""
238,"""Zangatotitsetsake"""
239,"""Zangatsokena"""
240,"""ZangaTsokena"""
241,"""ZangaZomaly"""
242,"""ZOMALY"""
243,"""zomaly"""
